사유,소스,유효성 검사,페이지
사용자가 선택한 표준이 없는 중복 페이지,웹사이트,시작됨,15
Soft 404,웹사이트,시작됨,1
‘NOINDEX’ 태그에 의해 제외되었습니다.,웹사이트,시작됨,1
크롤링됨 - 현재 색인이 생성되지 않음,Google 시스템,시작됨,832
찾을 수 없음(404),웹사이트,통과,0
발견됨 - 현재 색인이 생성되지 않음,Google 시스템,통과,147
